ÒÚ‡Ú¸ˇ;‡‚ÚÓ˚;ˆËÚËÛ˛Ú;ÊÛÌ‡Î;ÒÚ‡Ì‡
Hermitian description of localized plasmons in dispersive dissipative subwavelength spherical nanostructures;['SHISHKOV VY', 'ANDRIANOV ES', 'PUKHOV AA', 'VINOGRADOV AP'];['AKIMOV A V', 'MUKHERJEE A', 'YU C L', 'ALDOSSARY O', 'BABIKER M', 'ENFATI N', 'ALPEGGIANI FILIPPO', 'ANDREANI LUCIO CLAUDIO', 'ANDRIANOV E S', 'PUKHOV A A', 'DOROFEENKO A V', 'VINOGRADOV A P', 'ARCHAMBAULT ALEXANDRE', 'MARQUIER FRANCOIS', 'GREFFET JEAN-JACQUES', 'BERGMAN DJ', 'STOCKMAN MI', 'CALDEIRA AO', 'LEGGETT AJ', 'CHANG DARRICK E', 'SORENSEN ANDERS S', 'DEMLER EUGENE A', 'DA COSTA MR', 'DUTRA SM', 'DE LIBERATO SIMONE', 'DENTON C', 'GERVASONI JL', 'BARRACHINA RO', 'DIONNE JA', 'SWEATLOCK LA', 'ATWATER HA', 'DIRAC PAM', 'DITLBACHER H', 'HOHENAU A', 'WAGNER D', 'DORFMAN KONSTANTIN E', 'JHA PANKAJ K', 'VORONINE DMITRI V', 'DRUMMOND PD', 'DULKEITH E', 'MORTEANI AC', 'NIEDEREICHHOLZ T', 'DUNG HT', 'KNOLL L', 'WELSCH DG', 'EBERLEIN CLAUDIA', 'ZIETAL ROBERT', 'FALK ABRAM L', 'KOPPENS FRANK H L', 'YU CHUN L', 'FEDOROV I A', 'PARFENYEV V M', 'VERGELES S S', 'FERMI E'];PHYSICAL REVIEW B;Russia
Mechanical properties and current-carrying capacity of Al reinforced with graphene/BN nanoribbons: a computational study;['KVASHNIN DG', 'GHORBANI-ASL M', 'SHTANSKY DV', 'GOLBERG D', 'KRASHENINNIKOV AV', 'SOROKIN PB'];"['ASTROM JA', 'NORDLUND K', 'BAKSHI S R', 'LAHIRI D', 'AGARWAL A', 'BANHART FLORIAN', 'KOTAKOSKI JANI', 'KRASHENINNIKOV ARKADY V', 'BASKES MI', 'BJORKMAN TORBJORN', 'BLOCHL PE', 'COLEMAN JONATHAN N', 'KHAN UMAR', 'BLAU WERNER J', 'CRETU OVIDIU', 'KOMSA HANNU-PEKKA', 'LEHTINEN OSSI', 'BOTELLO-MENDEZ ANDRES R', 'JANOWSKA IZABELA', 'FACCIO RICARDO', 'DENIS PABLO A', 'PARDO HELENA', 'GHORBANI-ASL MAHDI', 'BRISTOWE PAUL D', 'KOZIOL KRZYSZTOF', 'GOLBERG DMITRI', 'BANDO YOSHIO', 'HUANG YANG', 'JIN CHUANHONG', 'LAN HAIPING', 'PENG LIANMAO', 'BERSENEVA NATALIA', 'KVASHNIN DMITRY G', 'KRESSE G', 'FURTHMULLER J', 'SHTANSKY DMITRY', 'LAHA T', 'MCKECHNIE T', 'LAHIRI DEBRUPA', 'HADJIKHANI ALI', 'ZHANG CHENG', 'LIU XIANGJUN', 'ZHANG GANG', 'ZHANG YONG-WEI', 'ORLOV A V', ""OVID'KO I A"", 'PENG QING', 'JI WEI', 'DE SUVRANU', 'PERDEW JP', 'BURKE K', 'ERNZERHOF M', 'PHAM HIEU H', 'WILLIAMS MICHAEL E', 'MAHAFFEY PATRICK', 'PLIMPTON S', 'RASHAD MUHAMMAD', 'PAN FUSHENG', 'YU ZHENGWEN', 'RICE MJ', 'PHILLPOT SR', 'BISHOP AR', 'SHIN S E', 'CHOI H J', 'HWANG J Y']";NANOSCALE;Russia
Phonon contribution to electrical resistance of acceptor-doped single-wall carbon nanotubes assembled into transparent films;['TSEBRO VI', 'TONKIKH AA', 'RYBKOVSKIY DV', 'OBRAZTSOVA EA', 'KAUPPINEN EI', 'OBRAZTSOVA ED'];['ANDO T', 'NAKANISHI T', 'SAITO R', 'AVRAMENKO M V', 'ROSHAL S B', 'BURSTEIN E', 'ELISEEV A A', 'YASHINA L V', 'VERBITSKIY N I', 'FAN X', 'DICKEY EC', 'EKLUND PC', 'FEDOTOV PAVEL V', 'TONKIKH ALEXANDER A', 'OBRAZTSOVA EKATERINA A', 'GRIGORIAN L', 'WILLIAMS KA', 'FANG S', 'GRUNER G', 'GUAN LUNHUI', 'SUENAGA KAZU', 'SHI ZUJIN', 'HAMADA N', 'SAWADA S', 'OSHIYAMA A', 'HECHT DAVID S', 'HEINTZ AMY M', 'LEE ROLAND', 'HU L', 'HECHT DS', 'KAISER AB', 'DUSBERG G', 'ROTH S', 'KANE CL', 'MELE EJ', 'LEE RS', 'KASKELA ANTTI', 'LAIHO PATRIK', 'FUKAYA NORIHIRO', 'NASIBULIN ALBERT G', 'TIMMERMANS MARINA Y', 'KATAURA H', 'KUMAZAWA Y', 'MANIWA Y', 'KIVELSON S', 'HEEGER AJ', 'KUZNETSOV VL', 'USOLTSEVA AN', 'CHUVILIN AL', 'LYONS PHILIP E', 'DE SUKANTA', 'BLIGHE FIONA', 'MCEUEN PL', 'BOCKRATH M', 'COBDEN DH', 'MOHR M', 'MAULTZSCH J', 'DOBARDZIC E', 'MOISALA ANNA', 'BROWN DAVID P', 'MOSS TS', 'MUSTONEN K', 'LAIHO P', 'KASKELA A'];PHYSICAL REVIEW B;Russia
Rapid Surface Oxidation of Sb2Te3 as Indication for a Universal Trend in the Chemical Reactivity of Tetradymite Topological Insulators;['VOLYKHOV AA', 'SANCHEZ-BARRIGA J', 'SIROTINA AP', 'NEUDACHINA VS', 'FROLOV AS', 'GERBER EA', 'KATAEV EY', 'SENKOVSKY B', 'KHMELEVSKY NO', 'AKSENENKO AY', 'KOROBOVA NV', 'KNOP-GERICKE A', 'RADER O', 'YASHINA LV'];['ESCHBACH MARKUS', 'MLYNCZAK EWA', 'KELLNER JENS', 'ESSIN ANDREW M', 'MOORE JOEL E', 'VANDERBILT DAVID', 'FU LIANG', 'KANE C L', 'MELE E J', 'HASAN M Z', 'HWANG JIN HEUI', 'PARK JOONBUM', 'KWON SANGKU', 'KANE CL', 'MELE EJ', 'KIM BYEONG GEUN', 'LIM CHANG-HYUN', 'CHOI SOON-MOK', 'KONG DESHENG', 'CHA JUDY J', 'LAI KEJI', 'KRESSE G', 'HAFNER J', 'LI RUNDONG', 'WANG JING', 'QI XIAO-LIANG', 'LINAREZ PEREZ OMAR E', 'SANCHEZ MIGUEL D', 'LOPEZ TEIJELO MANUEL', 'MACEDO RITA J', 'HARRISON SARA E', 'DOROFEEVA TATIANA S', 'MOORE J E', 'BALENTS L', 'MORETTI G', 'MURAKAMI SHUICHI', 'PAULY C', 'BIHLMAYER G', 'LIEBMANN M', 'PINISETTY D', 'GUPTA M', 'KARKI A B', 'ZANG JIADONG', 'ROY RAHUL', 'GOLIAS E', 'VARYKHALOV A', 'BRAUN J', 'SEIBEL CHRISTOPH', 'BENTMANN HENDRIK', 'BRAUN JUERGEN', 'SUNG JI HO', 'HEO HOSEOK', 'HWANG INCHAN', 'TAKAGAKI Y', 'GIUSSANI A', 'TOMINAGA J', 'THOMAS CONOR R', 'VALLON MATTHEW K', 'FRITH MATTHEW G', 'VOLYKHOV A A', 'YASHINA L V', 'ZYUBINA T S', 'CHEN XI', 'ZHU BANG-FEN'];CHEMISTRY OF MATERIALS;Russia
Magnetoplasmon Fano resonance in Bose-Fermi mixtures;['BOEV MV', 'KOVALEV VM', 'SAVENKO IG'];['BRUE DANIEL A', 'HUTSON JEREMY M', 'BUCHLER HP', 'BLATTER G', 'BUTOV LV', 'CHAPLIK AV', 'KRASHENINNIKOV MV', 'COTLET OVIDIU', 'ZEYTINOGLU SINA', 'SIGRIST MANFRED', 'GERGEL VA', 'KAZARINORF', 'SURIS RA', 'GORBUNOV A V', 'TIMOFEEV V B', 'INOUYE S', 'GOLDWIN J', 'OLSEN ML', 'KOVALEV V M', 'CHAPLIK A V', 'SAVENKO I G', 'IORSH I V', 'LAUSSY FABRICE P', 'KAVOKIN ALEXEY V', 'SHELYKH IVAN A', 'MARCHETTI FRANCESCA M', 'MATHY CHARLES J M', 'HUSE DAVID A', 'MATUSZEWSKI MICHAL', 'TAYLOR THOMAS', 'MIROSHNICHENKO AE', 'MINGALEEV SF', 'FLACH S', 'MIROSHNICHENKO ANDREY E', 'FLACH SERGEJ', 'KIVSHAR YURI S', 'SIEGNER U', 'MYCEK MA', 'GLUTSCH S', 'WANG DW', 'LUKIN MD', 'DEMLER E', 'WILLE E', 'SPIEGELHALDER F M', 'KERNER G'];PHYSICAL REVIEW B;Russia
Excitonic Stark effect in MoS2 monolayers;['SCHARF B', 'FRANK T', 'GMITRA M', 'FABIAN J', 'ZUTIC I', 'PEREBEINOS V'];['AMANI MATIN', 'LIEN DER-HSIEN', 'KIRIYA DAISUKE', 'BAO WENZHONG', 'CAI XINGHAN', 'KIM DOHUN', 'BERKELBACH TIMOTHY C', 'HYBERTSEN MARK S', 'REICHMAN DAVID R', 'BRITNELL L', 'RIBEIRO R M', 'ECKMANN A', 'BROMLEY RA', 'YOFFE AD', 'MURRAY RB', 'CALMAN E V', 'DOROW C J', 'FOGLER M M', 'CAO TING', 'WANG GANG', 'HAN WENPENG', 'CHAVES A', 'LOW TONY', 'AVOURIS P', 'CHEIWCHANCHAMNANGIJ TAWINAN', 'LAMBRECHT WALTER R L', 'CHERNIKOV ALEXEY', 'VAN DER ZANDE AREND M', 'HILL HEATHER M', 'CUDAZZO PIERLUIGI', 'TOKATLY ILYA V', 'RUBIO ANGEL', 'CUI XU', 'LEE GWAN-HYOUNG', 'KIM YOUNG DUCK', 'DERY HANAN', 'SONG YANG', 'DUMCENCO DUMITRU', 'OVCHINNIKOV DMITRY', 'MARINOV KOLYO', 'FABIAN JAROSLAV', 'MATOS-ABIAGUE ALEX', 'ERTLER CHRISTIAN', 'BUTOV L V', 'NOVOSELOV K S', 'FRANZ W', 'FURCHI MARCO M', 'POLYUSHKIN DMITRY K', 'POSPISCHIL ANDREAS', 'GANCHEV BOGDAN', 'DRUMMOND NEIL', 'ALEINER IGOR', 'GMITRA MARTIN', 'HAASTRUP STEN', 'LATINI SIMONE', 'BOLOTIN KIRILL', 'HANBICKI A T', 'CURRIE M', 'KIOSEOGLOU G', 'HE KELIANG', 'KUMAR NARDEEP', 'ZHAO LIANG', 'KELDYSH LV', 'KIM JONGHWAN', 'HONG XIAOPING', 'JIN CHENHAO', 'KLEIN J', 'WIERZBOWSKI J', 'REGLER A'];PHYSICAL REVIEW B;Russia
Distribution of current fluctuations in a bistable conductor;['SINGH S', 'PELTONEN JT', 'KHAYMOVICH IM', 'KOSKI JV', 'FLINDT C', 'PEKOLA JP'];['BERGLI J', 'GALPERIN Y M', 'ALTSHULER B L', 'BERUT ANTOINE', 'ARAKELYAN ARTAK', 'PETROSYAN ARTYOM', 'CHIDA KENSAKU', 'NISHIGUCHI KATSUHIKO', 'YAMAHATA GENTO', 'DI SANTO SERENA', 'BURIONI RAFFAELLA', 'VEZZANI ALESSANDRO', 'DIETERICH E', 'CAMUNAS-SOLERT J', 'RIBEZZI-CRIVELLARI M', 'EILES TM', 'MARTINIS JM', 'DEVORET MH', 'ESPOSITO MASSIMILIANO', 'HARBOLA UPENDRA', 'MUKAMEL SHAUL', 'FRICKE C', 'HOHLS F', 'WEGSCHEIDER W', 'FUJISAWA T', 'HAYASHI T', 'TOMITA R', 'GALLAVOTTI G', 'COHEN EGD', 'GUSTAFSSON MARTIN V', 'POURKABIRIAN ARSALAN', 'JOHANSSON GORAN', 'GUSTAVSSON S', 'LETURCQ R', 'SIMOVIC B', 'STUDER M', 'HASSLER F', 'LESOVIK G B', 'BLATTER G', 'HOUSE M G', 'XIAO MING', 'GUO GUOPING', 'JORDAN AN', 'SUKHORUKOV EV', 'JUN YONGGUN', 'GAVRILOV MOMCILO', 'BECHHOEFER JOHN', 'KOSKI J V', 'SAGAWA T', 'SAIRA O-P', 'KUTVONEN A', 'KHAYMOVICH I M', 'KOSKI JONNE V', 'MAISI VILLE F', 'PEKOLA JUKKA P', 'KUENG B', 'ROESSLER C', 'BECK M', 'LAMBERT NEILL', 'NORI FRANCO', 'FLINDT CHRISTIAN', 'LU W', 'JI ZQ', 'PFEIFFER L', 'KAMBLY DANIA', 'MARUYAMA KOJI', 'VEDRAL VLATKO', 'NAKAMURA SHUJI', 'YAMAUCHI YOSHIAKI', 'HASHISAKA MASAYUKI', 'PALADINO E', 'FALCI G', 'PARRONDO JUAN M R', 'HOROWITZ JORDAN M', 'SAGAWA TAKAHIRO'];PHYSICAL REVIEW B;Russia
Structure and magnetic properties of BaFe11.9In0.1O19 hexaferrite in a wide temperature range;['TRUKHANOV SV', 'TRUKHANOV AV', 'TURCHENKO VA', 'KOSTISHYN VG', 'PANINA LV', 'KAZAKEVICH IS', 'BALAGUROV AM'];['ADELSKOELD V', 'ARROTT A', 'NOAKES JE', 'BALBASHOV A M', 'IVANOV V YU', 'MUKHIN A A', 'BANERJEE SK', 'BATLLE X', 'OBRADORS X', 'RODRIGUEZCARVAJAL J', 'BOKUCHAVA G D', 'BALAGUROV A M', 'SUMIN V V', 'CABANAS MV', 'GERMI P', 'GONZALEZCALBET JM', 'CASTRO S', 'GAYOSO M', 'RIVAS J', 'CHATTERJI TAPAN', 'HANSEN THOMAS C', 'BRUNELLI MICHELA', 'DHAGE VINOD N', 'MANE M L', 'KECHE A P', 'GARCIA-CASILLAS PE', 'BEESLEY AM', 'BUENO D', 'GILLEO MA', 'HUR N', 'PARK S', 'SHARMA PA', 'IKEDA N', 'OHSUMI H', 'OHWADA K', 'KOSTISHIN V G', 'PANINA L V', 'KOZHITOV L V', 'KOSTISHYN V G', 'TIMOFEEV A V', 'KREISEL J', 'LUCAZEAU G', 'VINCENT H', 'LI LIANGCHAO', 'CHEN KEYU', 'LIU HUI', 'LITSARDAKIS G', 'MANOLAKIS I', 'EFTHIMIADIS K', 'MAKOVEC DARKO', 'PRIMC DARINKA', 'STURM SASO', 'MARINO-CASTELLANOS P A', 'MORENO-BORGES A C', 'OROZCO-MELGAR G', 'MOHSEN Q', 'PULLAR ROBERT C', 'RADAELLI PG', 'IANNONE G', 'MAREZIO M', 'RAM S', 'KRISHNAN H', 'RAI KN', 'RIETVELD HM'];JOURNAL OF ALLOYS AND COMPOUNDS;Russia
Fluorite-pyrochlore phase transition in nanostructured Ln(2)Hf(2)O(7) (Ln = La-Lu);['POPOV VV', 'MENUSHENKOV AP', 'YAROSLAVTSEV AA', 'ZUBAVICHUS YV', 'GAYNANOV BR', 'YASTREBTSEV AA', 'LESHCHEV DS', 'CHERNIKOV RV'];['ANDRIEVSKAYA E R', 'ANKUDINOV AL', 'RAVEL B', 'REHR JJ', 'BLANCHARD PETER E R', 'LIU SAMUEL', 'KENNEDY BRENDAN J', 'CLEMENTS RICHARD', 'LIU SAM', 'CHERNOV AA', 'CHERNYSHOV A A', 'VELIGZHANIN A A', 'ZUBAVICHUS Y V', 'DIPPEL ANN-CHRISTIN', 'LIERMANN HANNS-PETER', 'DELITZ JAN TORBEN', 'EWING RC', 'WEBER WJ', 'LIAN J', 'FARMER J MATT', 'BOATNER LYNN A', 'CHAKOUMAKOS BRYAN C', 'FARROW C L', 'JUHAS P', 'LIU J W', 'FOMINA LN', 'PALGUEV SF', 'GARDNER JASON S', 'GINGRAS MICHEL J P', 'GREEDAN JOHN E', 'GREHK TM', 'NILSSON PO', 'HAMMERSLEY AP', 'SVENSSON SO', 'HANFLAND M', 'HAYUN SHMUEL', 'TRAN TIEN B', 'LIAN JIE', 'KARTHIK CHINNATHAMBI', 'ANDERSON THOMAS J', 'GOUT DELPHINE', 'KLEMENTEV KV', 'KUMAR S', 'GUPTA H C', 'LAU G C', 'MCQUEEN T M', 'HUANG Q', 'LEE Y H', 'SHEU H S', 'DENG J P', 'LI YAN', 'KOWALSKI PIOTR M', 'BERIDZE GEORGE', 'MANDAL B P', 'GARG NANDINI', 'SHARMA SURINDER M', 'MINERVINI L', 'GRIMES RW', 'SICKAFUS KE', 'MOROZ E M', 'NEWVILLE M'];JOURNAL OF ALLOYS AND COMPOUNDS;Russia
Domain structure transformation and magnetic susceptibility of Ho2Fe17 single crystals;['PASTUSHENKOV YG', 'SKOKOV KP', 'ANTONOVA ES', 'IVANOVA TI', 'BARTOLOME JS'];"['BARTOLOME J', 'MUKHERJEE S', 'RILLO C', 'KUZMIN MD', 'GARCIA LM', 'CANEPA F', 'CIRAFICI S', 'NAPOLETANO M', 'CHEN DX', 'SKUMRYEV V', 'KRONMULLER H', 'FRANSE JJM', 'GRIEB B', 'STADELMAIER HH', 'HENIG ET', 'KOU XC', 'GROSSINGER R', 'HILSCHER G', 'KRANZ J', 'DRECHSEL W', ""KUZ'MIN M D"", 'SKOURSKI Y', 'SKOKOV K P', 'SUPONEV NP', 'DRAGON T', 'FORKL A', 'KRONMULLER HK', 'PASTUSHENKOV YU', 'SUPONEV N', 'PFRANGER R', 'PLUSA D', 'SZYMURA S', 'PIQUER C', 'DE FRANCISCO C', 'RAO XL', 'COEY JMD', 'TAKEDA K', 'MAEDA T', 'KATAYAMA T']";JOURNAL OF ALLOYS AND COMPOUNDS;Russia
