ÒÚ‡Ú¸ˇ;‡‚ÚÓ˚;ˆËÚËÛ˛Ú;ÊÛÌ‡Î;ÒÚ‡Ì‡
Few-cycle solitons in the medium with permanent dipole moment under conditions of the induced birefringence;['SAZONOV SV'];"['AGROTIS M', 'ERCOLANI NM', 'GLASGOW SA', 'AGROTIS MA', 'AMIRANASHVILI SH', 'VLADIMIROV A G', 'BANDELOW U', 'AUSTON DH', 'CHEUNG KP', 'VALDMANIS JA', 'BAKUNOV MICHAEL I', 'BODROV SERGEY B', 'BELENOV EM', 'NAZARKIN AV', 'USHCHAPOVSKII VA', 'BESPALOV VG', 'KOZLOV SA', 'SHPOLYANSKIY YA', 'BRABEC T', 'KRAUSZ F', 'CAPUTO JG', 'MAIMISTOV AI', 'CASPERSON LW', 'EBERLY JH', 'EILBECK JC', 'GIBBON JD', 'CAUDREY PJ', 'ELYUTIN SO', 'FLEISCHHAUER M', 'MANKA AS', 'FRANTZESKAKIS D J', 'LEBLOND H', 'MIHALACHE D', 'FUELOEP JOZSEF ANDRAS', 'PALFALVI LASZLO', 'HOFFMANN MATTHIAS C', 'KITAEVA G KH', 'KOCINAC S', 'IKONIC Z', 'MILANOVIC V', 'KONNO K', 'KAMEYAMA W', 'SANUKI H', 'KRISHNAN R', 'HAHN MA', 'YU ZH', 'TRIKI H', 'SANCHEZ F', 'LEBLOND HERVE', 'SAZONOV S V', ""MEL'NIKOV I V"", 'LI LS', 'ALIVISATOS AP', 'MELNIKOV IV', 'MOLDOVEANU F']";OPTICS COMMUNICATIONS;Russia
Improvement of interface structure and polarization performance of Co/C multilayers by incorporation of nitrogen;['WEN MW', 'HUANG QS', 'MA S', 'LI WB', 'SHE R', 'PENG JC', 'GIGLIA A', 'KOZHEVNIKOV IV', 'FENG H', 'ZHANG Z', 'WANG ZS'];['ANDRE JM', 'JONNARD P', 'MICHAELSEN C', 'BAI HL', 'JIANG EY', 'WANG CD', 'BAKER MA', 'HAMMER P', 'BELLOTTI JEFFREY A', 'WINDT DAVID L', 'GHAFOOR NAUREEN', 'ERIKSSON FREDRIK', 'GULLIKSON ERIC', 'GUPTA R', 'GUPTA M', 'HELLGREN N', 'JOHANSSON MP', 'BROITMAN E', 'JIANG HUI', 'MICHETTE ALAN', 'PFAUNTSCH SLAWKA', 'KJORNRATTANAWANICH B', 'BAJT S', 'SEELY JF', 'KUZNETSOV D S', 'YAKSHIN A E', 'STURM J M', 'MARTON D', 'BOYD KJ', 'ALBAYATI AH', 'NANNARONE S', 'BORGATTI F', 'DELUISA A', 'NORMAND FL', 'RONNING C', 'FELDERMANN H', 'MERK R', 'SCHAFERS F', 'MERTIN M', 'ABRAMSOHN D', 'TSARFATI T', 'VAN DE KRUIJS R W E', 'ZOETHOUT E', 'WANG H', 'WONG SP', 'CHEUNG WY', 'WANG ZHANSHAN', 'WANG HONGCHANG', 'ZHU JINGTAO', 'WEN MINGWU', 'JIANG LI', 'ZHANG ZHONG', 'XIONG JM', 'DING YJ', 'WANG T', 'XU DECHAO', 'HUANG QIUSHI', 'WANG YIWEN', 'YE DX', 'PIMANPANG S', 'JEZEWSKI C'];OPTICS EXPRESS;Russia
Trading coherence and entropy by a quantum Maxwell demon;['LEBEDEV AV', 'OEHRI D', 'LESOVIK GB', 'BLATTER G'];['ABERG JOHAN', 'ALICKI R', 'BENNETT CH', 'BOYKIN PO', 'MOR T', 'ROYCHOWDHURY V', 'BRANDAO FERNANDO', 'HORODECKI MICHAL', 'NG NELLY', 'BRASSARD GILLES', 'ELIAS YUVAL', 'MOR TAL', 'BRUNNER NICOLAS', 'LINDEN NOAH', 'POPESCU SANDU', 'DEFFNER SEBASTIAN', 'JARZYNSKI CHRISTOPHER', 'DIAZ DE LA CRUZ J M', 'MARTIN-DELGADO M A', 'FELDMANN T', 'KOSLOFF R', 'FERNANDEZ JM', 'LLOYD S', 'OPPENHEIM JONATHAN', 'HOROWITZ JORDAN M', 'ESPOSITO MASSIMILIANO', 'LANDAUER R', 'LESOVIK G B', 'LEBEDEV A V', 'SADOVSKYY I A', 'LINDBLAD G', 'SKRZYPCZYK PAUL', 'PALAO JP', 'GORDON JM', 'PEKOLA J P', 'GOLUBEV D S', 'AVERIN D V', 'PROCACCIA I', 'LEVINE RD'];PHYSICAL REVIEW A;Russia
Bose-Einstein condensates and the spectrum of excitations in a two-dimensional channel;['SHUNYAEV IV', 'ELISTRATOV AA', 'LOZOVIK YE'];['AMO A', 'PIGEON S', 'SANVITTO D', 'ANTON C', 'LIEW T C H', 'SARKAR D', 'ASTRAKHARCHIK G E', 'BORONAT J', 'KURBAKOV I L', 'BALILI R', 'HARTWELL V', 'SNOKE D', 'BERMAN OLEG L', 'LOZOVIK YURII E', 'SNOKE DAVID W', 'BLATT JM', 'BRANDT W', 'BOER KW', 'BORGH MAGNUS O', 'KEELING JONATHAN', 'BERLOFF NATALIA G', 'BUTOV LV', 'GOSSARD AC', 'CHEMLA DS', 'LAI CW', 'IVANOV AL', 'ZRENNER A', 'ABSTREITER G', 'CATALIOTTI FS', 'FALLANI L', 'FERLAINO F', 'DE GIORGI M', 'BALLARINI D', 'CANCELLIERI E', 'DESBUQUOIS REMI', 'CHOMAZ LAURIANE', 'YEFSAH TARIK', 'EASTHAM PR', 'LITTLEWOOD PB', 'ELISTRATOV A A', 'LOZOVIK YU E', 'GAUNT ALEXANDER L', 'SCHMIDUTZ TOBIAS F', 'GOTLIBOVYCH IGOR', 'GORBUNOV A V', 'TIMOFEEV V B', 'GORLITZ A', 'VOGELS JM', 'LEANHARDT AE', 'IMAMOGLU A', 'RAM RJ', 'KASPRZAK J', 'RICHARD M', 'KUNDERMANN S', 'KLAERS JAN', 'SCHMITT JULIAN', 'VEWINGER FRANK', 'LOUTSENKO I', 'ROUBTSOV D', 'YUDSON VI'];PHYSICAL REVIEW A;Russia
Harmonization of chaos into a soliton in Kerr frequency combs;['LOBANOV VE', 'LIHACHEV GV', 'PAVLOV NG', 'CHERENKOV AV', 'KIPPENBERG TJ', 'GORODETSKY ML'];"['AGHA IMAD H', 'OKAWACHI YOSHITOMO', 'FOSTER MARK A', 'BAO CHANGJING', 'ZHANG LIN', 'MATSKO ANDREY', 'BRAGINSKY VB', 'ILCHENKO VS', 'BRASCH V', 'GEISELMANN M', 'HERR T', 'CARMON T', 'YANG L', 'VAHALA KJ', 'CHEMBO YANNE K', 'YU NAN', ""DEL'HAYE P"", 'SCHLIESSER A', 'ARCIZET O', ""DEL'HAYE PASCAL"", 'BEHA KATJA', 'PAPP SCOTT B', 'FOMIN AE', 'GRUDININ IS', 'GODEY CYRIL', 'BALAKIREVA IRINA V', 'COILLET AURELIEN', 'GRIFFITH AUSTIN G', 'LAU RYAN K W', 'CARDENAS JAIME', 'GRUDININ IVAN S', 'BAUMGARTEL LUKAS', 'HANSSON T', 'MODOTTO D', 'WABNITZ S', 'HANSSON TOBIAS', 'WABNITZ STEFAN', 'HAUSMANN B J M', 'BULU I', 'VENKATARAMAN V', 'JOST J D', 'HARTINGER K', 'RIEMENSBERGER J', ""IL'CHENKO V S"", 'GORODETSKII M L', 'ILCHENKO VLADIMIR S', 'SAVCHENKOV ANATOLIY A', 'MATSKO ANDREY B', 'JANG JAE K', 'ERKINTALO MIRO', 'COEN STEPHANE', 'LUO KATHY', 'MURDOCH STUART G', 'JARAMILLO-VILLEGAS JOSE A', 'XUE XIAOXIAO', 'WANG PEI-HSUN', 'JOSHI CHAITANYA', 'LUKE KEVIN', 'JUNG HOJOONG', 'XIONG CHI', 'FONG KING Y', 'KIPPENBERG T J', 'HOLZWARTH R', 'DIDDAMS S A', 'KOBATAKE TOMOYA', 'KATO TAKUMI', 'ITOBE HIROKI']";OPTICS EXPRESS;Russia
Surface modulation and back reflection from foil targets irradiated by a Petawatt femtosecond laser pulse at oblique incidence;['TER-AVETISYAN S', 'ANDREEV A', 'PLATONOV K', 'SUNG JH', 'LEE SK', 'LEE HW', 'YOO JY', 'SINGH PK', 'AHMED H', 'SCULLION C', 'KAKOLEE KF', 'JEONG TW', 'HADJISOLOMOU P', 'BORGHESI M'];['AN DER BRUEGGE DANIEL', 'KUMAR NAVEEN', 'PUKHOV ALEXANDER', 'ANDREEV A A', 'PLATONOV K YU', 'KOMAROV V M', 'CHARUKHCHEV A V', 'STEINKE S', 'SOKOLLIK T', 'ANDREEV AA', 'PLATONOV KY', 'SALOMAA RRE', 'DAVIES J R', 'DROMEY B', 'ADAMS D', 'HOERLEIN R', 'KAR S', 'BELLEI C', 'JEONG TAE WON', 'SINGH P K', 'MACCHI A', 'CORNOLTI F', 'PEGORARO F', 'MACCHI ANDREA', 'BORGHESI MARCO', 'PASSONI MATTEO', 'NAUMOVA NM', 'NEES JA', 'SOKOLOV IV', 'SCHNURER M', 'BUSCH S', 'SGATTONI A', 'SINIGARDI S', 'FEDELI L', 'SINGH PRASHANT KUMAR', 'KAKOLEE K F', 'JEONG T W', 'SUNG JAE HEE', 'LEE SEONG KU', 'JEONG TAE MOON', 'VINCENTI H', 'MONCHOCE S', 'KAHALY S', 'WILKS SC', 'KRUER WL', 'TABAK M', 'YEUNG M', 'YU TAE JUN', 'ZEPF M', 'CASTROCOLIN M', 'CHAMBERS D'];OPTICS EXPRESS;Russia
Dispersion relation of a surface wave at a rough metal-air interface;['KOTELNIKOV I', 'STUPAKOV G'];['ELFOUHAILY TM', 'GUERIN CA', 'GERASIMOV V V', 'KNYAZEV B A', 'NIKITIN A K', 'GERASIMOV VASILY V', 'KNYAZEV BORIS A', 'LEMZYAKOV ALEXEY G', 'KOTELNIKOV IGOR A', 'KULIPANOV G N', 'VINOKUROV N A', 'STUPAKOV GENNADY V', 'MILLS DL', 'ORDAL MA', 'LONG LL', 'BELL RJ', 'PANDEY SHASHANK', 'GUPTA BARUN', 'CHANANA ASHISH', 'RAETHER H', 'RICE SO', 'VINOKUROV NA', 'ZHIZHIN GN', 'SVAKHIN AS', 'SILIN VI'];PHYSICAL REVIEW A;Russia
Dark continuum in the spectral function of the resonant Fermi polaron;"['GOULKO O', 'MISHCHENKO AS', ""PROKOF'EV N"", 'SVISTUNOV B']";"['BRUUN G M', 'MASSIGNAN P', 'CHEVY F', 'COMBESCOT R', 'GIRAUD S', 'LEYRONAS X', 'RECATI A', 'LOBO C', 'CUI XIAOLING', 'ZHAI HUI', 'KOHSTALL C', 'ZACCANTI M', 'JAG M', 'KOSCHORRECK MARCO', 'PERTOT DANIEL', 'VOGT ENRICO', 'KROISS PETER', 'POLLET LODE', 'LAN ZHIHAO', 'LOBO CARLOS', 'MASSIGNAN PIETRO', 'ZACCANTI MATTEO', 'BRUUN GEORG M', 'MORA CHRISTOPHE', 'CHEVY FREDERIC', 'PARISH MEERA M', 'LEVINSEN JESPER', 'PILATI S', 'GIORGINI S', ""PROKOF'EV N V"", 'SVISTUNOV B V', ""PROKOF'EV NIKOLAY"", 'SVISTUNOV BORIS', 'PUNK M', 'DUMITRESCU P T', 'ZWERGER W', 'SCHIROTZEK ANDRE', 'WU CHENG-HSUN', 'SOMMER ARIEL', 'SCHMIDT RICHARD', 'ENSS TILMAN', 'VLIETINCK JONAS', 'RYCKEBUSCH JAN', 'VAN HOUCKE KRIS']";PHYSICAL REVIEW A;Russia
Theoretical study of physical and thermodynamic properties of AlnNm clusters;['LOUKHOVITSKI BI', 'SHARIPOV AS', 'STARIK AM'];['ADAMO C', 'BARONE V', 'ALIPOUR MOJTABA', 'MOHAJERI AFSHAN', 'ANDREWS L', 'ZHOU MF', 'CHERTIHIN GV', 'AVERKIEV BORIS B', 'BOLDYREV ALEXANDER I', 'LI XI', 'BAI QIUGUI', 'SONG BIN', 'HOU JINYU', 'BECKE AD', 'BELBRUNO JJ', 'BOO BH', 'LIU ZY', 'CAMMI R', 'COSSI M', 'TOMASI J', 'CASTLEMAN A W JR', 'KHANNA S N', 'CHANG C', 'PATZER ABC', 'SEDLMAYR E', 'CHATTARAJ PK', 'FUENTEALBA P', 'JAQUE P', 'COHEN AJ', 'HANDY NC', 'COSTALES A', 'KANDALAM AK', 'PANDEY R', 'PENDAS AM', 'DENG J L', 'SU K H', 'WANG X', 'DIXON DA', 'FELLER D', 'CHRISTE KO', 'DOROGAN I V', 'FERRARESI CUROTTO VERONICA', 'PIS DIEZ REINALDO', 'FLEIG T', 'GRIMES RW', 'GRIMME STEFAN', 'GUO L', 'WU HS', 'JIN ZH', 'GUTSEV GL', 'JENA P', 'BARTLETT RJ'];EUROPEAN PHYSICAL JOURNAL D;Russia
Higher-order recoil corrections for triplet states of the helium atom;['PATKOS V', 'YEROKHIN VA', 'PACHUCKI K'];['ANTOGNINI A', 'BIRABEN F', 'CARDOSO J M R', 'ANTOGNINI ALDO', 'NEZ FRANCOIS', 'SCHUHMANN KARSTEN', 'ARAKI H', 'EIDES MI', 'GROTCH H', 'SHELYUTO VA', 'ITZYKSON C', 'KABIR PK', 'SALPETER EE', 'KOROBOV VI', 'MOHR PETER J', 'NEWELL DAVID B', 'TAYLOR BARRY N', 'SAPIRSTEIN J', 'PACHUCKI KRZYSZTOF', 'YEROKHIN VLADIMIR A', 'YEROKHIN V A', 'PASTOR P CANCIO', 'CONSOLINO L', 'GIUSFREDI G', 'DE NATALE P', 'PASTOR PC', 'POHL RANDOLF', 'SAPIRSTEIN JR', 'SHINER D', 'DIXSON R', 'VEDANTHAM V', 'SUCHER J', 'VAN ROOIJ R', 'BORBELY J S', 'SIMONET J', 'SHABAEV V M'];PHYSICAL REVIEW A;Russia
Multipass optical system for a Raman gas spectrometer;['PETROV DV'];['AVILA G', 'FERNANDEZ JM', 'MATE B', 'BOGOZI TIMEA', 'POPP JURGEN', 'FROSCH TORSTEN', 'BULDAKOV M A', 'KOROLKOV V A', 'MATROSOV I I', 'BULDAKOV MA', 'KOROLEV BV', 'MATROSOV II', 'BURIC MICHAEL P', 'CHEN KEVIN P', 'FALK JOEL', 'CHOW KAM KONG', 'SHORT MICHAEL', 'LAM STEPHEN', 'HANF STEFAN', 'FISCHER SARAH', 'HARTMANN HENRIK', 'BOEGOEZI TIMEA', 'KEINER ROBERT', 'YAN DI', 'HARTLEY DL', 'HILL RA', 'HERRIOTT D', 'KOMPFNER R', 'KOGELNIK H', 'JOCHUM TOBIAS', 'MICHALZIK BEATE', 'BACHMANN ANNE', 'KAUR D', 'DESOUZA AM', 'WANNA J', 'HERRMANN MARTINA', 'KUESEL KIRSTEN', 'LI XIAOYUN', 'XIA YUXING', 'ZHAN LI', 'MULAC AJ', 'FLOWER WL', 'OHARA S', 'YAMAGUCHI S', 'ENDO M', 'PETROV D V', 'TIKHOMIROV A A', 'RIZI V', 'IARLORI M', 'ROCCI G', 'SALTER ROBERT', 'CHU JOHNNY', 'HIPPLER MICHAEL', 'SCHLUETER SEBASTIAN', 'POPOVSKA-LEIPERTZ NADEJDA', 'SEEGER THOMAS', 'TRUTNA WR', 'BYER RL', 'UTSAV K C', 'SILVER JOEL A', 'HOVDE DAVID C', 'WALDHERR GREGOR A', 'LIN HAI'];APPLIED OPTICS;Russia
Detection and identification of drugs under real conditions by using noisy terahertz broadband pulse;['TROFIMOV VA', 'VARENTSOVA SA'];"['CHEN JIAN', 'CHEN YUNQING', 'ZHAO HONGWEI', 'CHEN YI', 'MA YONG', 'LU ZHENG', 'DAVIES A GILES', 'BURNETT ANDREW D', 'FAN WENHUI', 'DOBROIU ADRIAN', 'SASAKI YOSHIAKI', 'SHIBUYA TAKAYUKI', 'HAN SHE', 'BERTLING KARL', 'DEAN PAUL', 'HWANG HAROLD Y', 'FLEISCHER SHARLY', 'BRANDT NATHANIEL C', 'KARALIUNAS MINDAUGAS', 'VENCKEVICIUS RIMVYDAS', 'KASALYNAS IRMANTAS', 'KATO MIKIYA', 'TRIPATHI SAROJ R', 'MURATE KOSUKE', 'KAWASE KODO', ""HAYASHI SHIN'ICHIRO"", 'KEMP MIKE', 'LEAHY-HOPPA M R', 'FITCH M J', 'ZHENG X', 'LIU GUIFENG', 'MA SHIHUA', 'JI TE', 'LU MEIHONG', 'SHEN JINGLING', 'LI NING', 'LUO LIANG', 'CHATZAKIS IOANNIS', 'PATZ AARON', 'OK GYEONGSIK', 'PARK KISANG', 'KIM HYUN JUNG', 'ORTOLANI M', 'LEE J S', 'SCHADE U', 'OUCHI TOSHIHIKO', 'KAJIKI KOUSUKE', 'KOIZUMI TAKAYUKI', 'PALKA NORBERT', 'PUC UROS', 'ABINA ANDREJA', 'RUTAR MELITA', 'QIN JIANYUAN', 'YING YIBIN', 'XIE LIJUAN', 'SHEN YAO-CHUN', 'SUN JH', 'SHEN JL', 'LIANG LS', 'TROFIMOV VYACHESLAV A', 'VARENTSOVA SVETLANA A', 'SZUSTAKOWSKI MIECZYSLAW', 'TIKHOMIROV VASILY V']";APPLIED OPTICS;Russia
