ÒÚ‡Ú¸ˇ;‡‚ÚÓ˚;ˆËÚËÛ˛Ú;ÊÛÌ‡Î;ÒÚ‡Ì‡
Mesoscopic fluctuations of the single-particle Green's function at Anderson transitions with Coulomb interaction;['REPIN EV', 'BURMISTROV IS'];"['ALTSHULER BL', 'ARONOV AG', 'LEE PA', 'AMINI M', 'KRAVTSOV V E', 'MUELLER M', 'AMIT DJ', 'ANDERSON PW', 'BARANOV MA', 'PRUISKEN AMM', 'SKORIC B', 'BELITZ D', 'KIRKPATRICK TR', 'BURMISTROV I S', 'GORNYI I V', 'MIRLIN A D', 'CASTELLANI C', 'PELITI L', 'DICASTRO C', ""DELL'ANNA LUCA"", 'EFROS AL', 'SHKLOVSKII BI', 'EVERS FERDINAND', 'MIRLIN ALEXANDER D', 'FAEZ SANLI', 'STRYBULEVYCH ANATOLIY', 'PAGE JOHN H', ""FEIGEL'MAN M V"", 'IOFFE L B', ""FINKEL'SHTEIN AM"", 'FINKELSHTEIN AM', 'FINKELSTEIN AM', 'FOSTER MATTHEW S', 'XIE HONG-YI', 'CHOU YANG-ZHI', 'YUZBASHYAN EMIL A', 'GRUZBERG I A', 'ZIRNBAUER M R', 'HARASHIMA YOSUKE', 'SLEVIN KEITH', 'HOF D', 'WEGNER F']";PHYSICAL REVIEW B;Russia
Effect of high pressure on charge density wave formation and magnetic structure in the cubic high-pressure phase of TbGe2.85;['SALAMATIN DA', 'SIDOROV VA', 'KICHANOV SE', 'KOZLENKO DP', 'FOMICHEVA LN', 'NIKOLAEV AV', 'MAKAROVA OL', 'TSVYASHCHENKO AV'];['AKSENOV VL', 'BALAGUROV AM', 'GLAZKOV VP', 'ANDERSEN OK', 'LOUCKS TL', 'BENIDRIS A', 'ZAOUI A', 'BELHADJ M', 'ELSENHANS O', 'FISCHER P', 'FURRER A', 'FLEMING RM', 'DISALVO FJ', 'CAVA RJ', 'GALERA RM', 'MORIN P', 'GALLI F', 'FEYERHERM R', 'HENDRIKX RWA', 'GERBER S', 'JANG H', 'NOJIRI H', 'JOHANNES M D', 'MAZIN I I', 'KOZLENKO D P', 'DANG N T', 'KICHANOV S E', 'MITSUDA S', 'GEHRING PM', 'SHIRANE G', 'GIRAUD M', 'REGNAULT PL', 'MURASIK A', 'CZOPNIK A', 'KELLER L', 'NIKOLAEV A V', 'LAMOEN D', 'PARTOENS B', 'ZURAEVA IT', 'IONOVA GV', 'PETROVA AE', 'STISHOV SM', 'RODRIGUEZCARVAJAL J', 'RUTKAYSKAS A V', 'SHAFIQ M', 'AHMAD IFTIKHAR', 'ASADABADI S JALALI', 'SHIMOMURA S', 'HAYASHI C', 'ASAKA G', 'SINGH Y', 'NIRMALA R', 'RAMAKRISHNAN S', 'TEDIOSI RICCARDO', 'CARBONE FABRIZIO', 'KUZMENKO A B', 'TSVYASHCHENKO A V', 'VELICHKOV A I', 'SALAMATIN A V', 'SALAMATIN D A', 'SIDOROV V A', 'YAMAMOTO NOBUKI', 'KONDO RYUSUKE', 'MAEDA HIROYUKI', 'YASUZUKA S', 'MURATA K', 'FUJIMOTO T', 'ZHAI HUI-FEI', 'TANG ZHANG-TU', 'JIANG HAO'];PHYSICAL REVIEW B;Russia
Casimir frictional drag force between a SiO2 tip and a graphene-covered SiO2 substrate;['VOLOKITIN AI'];['AMORIM BRUNO', 'PERES N M R', 'BARTON GABRIEL', 'BLOCKI J', 'RANDRUP J', 'SWIATECKI WJ', 'CARREGA M', 'TUDOROVSKIY T', 'PRINCIPI A', 'CASIMIR HBG', 'CHEN DYE-ZONE A', 'HAMAM RAFIF', 'SOLJACIC MARIN', 'DEDKOV G V', 'KYASOV A A', 'DEDKOV GV', 'KYASOV AA', 'DERJAGUIN B', 'FREITAG MARCUS', 'STEINER MATHIAS', 'MARTIN YVES', 'GORBACHEV R V', 'GEIM A K', 'KATSNELSON M I', 'GRAMILA TJ', 'EISENSTEIN JP', 'MACDONALD AH', 'GUO YU', 'JACOB ZUBIN', 'HARTMANN U', 'HOYE JOHAN S', 'BREVIK IVER', 'HWANG E H', 'SENSARMA RAJDEEP', 'DAS SARMA S', 'INTRAVAIA F', 'BEHUNIN R O', 'DALVIT D A R', 'JAUHO AP', 'SMITH H', 'JOHANSSON P', 'APELL P', 'KAMENEV A', 'OREG Y', 'KIM SEYOUNG', 'JO INSUN', 'NAH JUNGHYO'];PHYSICAL REVIEW B;Russia
High-speed collision of copper nanoparticle with aluminum surface: Molecular dynamics simulation;['POGORELKO VV', 'MAYER AE', 'KRASNIKOV VS'];"['ALAMANOVA DENITSA', 'GRIGORYAN VALERI G', 'SPRINGBORG MICHAEL', 'APOSTOL F', 'MISHIN Y', 'ARAGHI HOUSHANG', 'ZABIHI ZABIHOLAH', 'CHEN RULING', 'WU YIHUA', 'LEI HONG', 'JIANG RANRAN', 'CHERNYSH V S', 'IESHKIN A E', 'ERMAKOV YU A', 'DAW MS', 'BASKES MI', 'FANG TE-HUA', 'KANG SHAO-HUI', 'LIAO JIA-HUNG', 'GNYUSOV S F', 'ROTSHTEIN V P', 'MAYER A E', 'HAQUE BAZLE Z (GAMA)', 'CHOWDHURY SANJIB C', 'GILLESPIE JOHN W JR', 'HOLUNGA DEAN M', 'BRUNELLI NICHOLAS A', 'FLAGAN RICHARD C', 'HONG ZHENG-HAN', 'HWANG SHUN-FA', 'HSIEH H', 'AVERBACK RS', 'JACOBS HO', 'CAMPBELL SA', 'STEWARD MG', 'KANEL G I', 'RAZORENOV S V', 'GARKUSHIN G V', ""KANEL' G I"", 'FORTOV V E', 'KANG JW', 'HWANG HJ', 'KAWAKAMI Y', 'SETO T', 'YOSHIDA T', 'KRASNIKOV V S', 'KUSIOR A', 'KOLLBEK K', 'KOWALSKI K', 'LEE JAE-HWANG', 'VEYSSET DAVID', 'SINGER JONATHAN P', 'LOYA PHILLIP E', 'LOU JUN', 'LIM KYUNGHOON', 'LEE JUNG-ROK', 'LEE HEECHUL', 'LIN SHIANG-JIUN', 'WU CHENG-DA', 'PLIMPTON S', 'POPOK VLADIMIR N', 'BARKE INGO', 'CAMPBELL ELEANOR E B', 'RENNECKE S', 'WEBER A P', 'SANTOS A', 'DEEN M J', 'MARSAL L F', 'SHARMA MUNISH K', 'BUCHNER RAYMOND D', 'SCHARMACH WILLIAM J', 'STUKOWSKI A', 'ARSENLIS A']";APPLIED SURFACE SCIENCE;Russia
Ultrathin metallic interlayers in vacuum deposited MoOx/metal/MoOx electrodes for organic solar cells;"['TRAVKIN VV', ""LUK'YANOV AY"", 'DROZDOV MN', 'VOPILKIN EA', 'YUNIN PA', 'PAKHOMOV GL']";"['ABACHI T', 'CATTIN L', 'LOUARN G', 'AMERI TAYEBEH', 'LI NING', 'BRABEC CHRISTOPH J', 'ANWAR M', 'HOGARTH CA', 'AXELEVITCH A', 'GORENSTEIN B', 'GOLAN G', 'BARROWS ALEXANDER T', 'MASTERS ROB', 'PEARSON ANDREW J', 'BERNEDE JEAN CHISTIAN', 'CATTIN LINDA', 'ABACHI TAHAR', 'CHEN SONG', 'MANDERS JESSE R', 'TSANG SAI-WING', 'CHEYNS DAVID', 'KAM BENJAMIN', 'VASSEUR KAROLIEN', 'CHU CW', 'LI SH', 'CHEN CW', 'DROZDOV M N', 'DROZDOV YU N', 'PAKHOMOV G L', 'DROZDOV Y N', 'CHKHALO N I', 'GREINER MARK T', 'CHAI LILY', 'HELANDER MICHAEL G', 'GRIGORYEV I', 'GUILLEN C', 'HERRERO J', 'HONG ZIRUO', 'DOU LETIAN', 'LI GANG', 'HUSSAIN Z', 'IRFAN', 'DING HUANJUN', 'GAO YONGLI', 'KIM GYU MIN', 'OH IL SOO', 'LEE AE NA', 'LEE SOOHYUN', 'TAE EUI KANG', 'HAN DONGGEON', 'LIU MINGJUN', 'CHEN PING', 'XUE QIN', 'LOPEZ I PEREZ', 'NGUYEN D-T', 'MACHEJ T', 'ZIOLKOWSKI J', 'MANIRUZZAMAN MD', 'RAHMAN MOHAMMAD ARIFUR', 'JEONG KYUNGHOON', 'MEYER JENS', 'HAMWI SAMI', 'KROEGER MICHAEL', 'VEDRAINE S', 'PAKHOMOV GEORGIJ L', 'DROZDOV MIKHAIL N', 'TRAVKIN VLAD V', 'PETOUKHOFF CHRISTOPHER E', 'VIJAPURAPU DIVYA K', ""O'CARROLL DEIRDRE M"", 'RAJ AMES', 'MALLIKA C', 'SWAMINATHAN K']";APPLIED SURFACE SCIENCE;Russia
Spontaneous Emission and Fundamental Limitations on the Signal-to-Noise Ratio in Deep-Subwavelength Plasmonic Waveguide Structures with Gain;['VYSHNEVYY AA', 'FEDYANIN DY'];['ANDRYIEUSKI ANDREI', 'ZENIN VLADIMIR A', 'MALUREANU RADU', 'BERINI PIERRE', 'DE LEON ISRAEL', 'BINH LN', 'FEDYANIN DMITRY YU', 'YAKUBOVSKY DMITRY I', 'KIRTAEV ROMAN V', 'KRASAVIN ALEXEY V', 'ARSENIN ALEKSEY V', 'HAMMING RW', 'KLYSHKO DN', 'MASALOV AV', 'ZAYATS ANATOLY V', 'LEOSSON KRISTJAN', 'MANIPATRUNI SASIKANTH', 'LIPSON MICHAL', 'YOUNG IAN A', 'MCPEAK KEVIN M', 'JAYANTI SRIHARSHA V', 'KRESS STEPHAN J P', 'MILLER DAVID A B', 'OLSSON NA', 'OULTON R F', 'SORGER V J', 'GENOV D A', 'SUN CHEN', 'WADE MARK T', 'LEE YUNSUP', 'SVINTSOV DMITRY A'];PHYSICAL REVIEW APPLIED;Russia
Magnetic proximity effect and shell-ferromagnetism in metastable Ni50Mn45Ga5;['KRENKE T', 'CAKIR A', 'SCHEIBEL F', 'ACET M', 'FARLE M'];['MANOSA LL', 'PLANES A', 'AKSOY SEDA', 'ACET MEHMET', 'WASSERMANN EBERHARD F', 'ALBERTINI F', 'MORELLON L', 'ALGARABEL PA', 'GUTIERREZ J', 'LAZPITA P', 'BARANDIARAN J M', 'KOK MEDIHA', 'AYDOGDU YLIDIRIM', 'DUMAN E', 'WASSERMANN EF', 'KRENKE THORSTEN', 'MANOSA LLUIS', 'GONZALEZ-ALONSO DAVID', 'PLANES ANTONI', 'NARAGHI MOHAMMAD', 'CHASIOTIS IOANNIS', 'KAHN HAROLD', 'SCHLAGEL D L', 'MCCALLUM R W', 'LOGRASSO T A', 'SHARMA V K', 'CHATTOPADHYAY M K', 'ROY S B', 'TIAN B', 'CHEN F', 'LIU Y', 'ULLAKKO K', 'HUANG JK', 'KANTNER C', 'WEBSTER PJ', 'ZIEBECK KRA', 'TOWN SL', 'XIN YAN', 'LI YAN', 'CHAI LIANG', 'YUHASZ W M', 'XING Q'];JOURNAL OF APPLIED PHYSICS;Russia
Hermitian description of localized plasmons in dispersive dissipative subwavelength spherical nanostructures;['SHISHKOV VY', 'ANDRIANOV ES', 'PUKHOV AA', 'VINOGRADOV AP'];['AKIMOV A V', 'MUKHERJEE A', 'YU C L', 'ALDOSSARY O', 'BABIKER M', 'ENFATI N', 'ALPEGGIANI FILIPPO', 'ANDREANI LUCIO CLAUDIO', 'ANDRIANOV E S', 'PUKHOV A A', 'DOROFEENKO A V', 'VINOGRADOV A P', 'ARCHAMBAULT ALEXANDRE', 'MARQUIER FRANCOIS', 'GREFFET JEAN-JACQUES', 'BERGMAN DJ', 'STOCKMAN MI', 'CALDEIRA AO', 'LEGGETT AJ', 'CHANG DARRICK E', 'SORENSEN ANDERS S', 'DEMLER EUGENE A', 'DA COSTA MR', 'DUTRA SM', 'DE LIBERATO SIMONE', 'DENTON C', 'GERVASONI JL', 'BARRACHINA RO', 'DIONNE JA', 'SWEATLOCK LA', 'ATWATER HA', 'DIRAC PAM', 'DITLBACHER H', 'HOHENAU A', 'WAGNER D', 'DORFMAN KONSTANTIN E', 'JHA PANKAJ K', 'VORONINE DMITRI V', 'DRUMMOND PD', 'DULKEITH E', 'MORTEANI AC', 'NIEDEREICHHOLZ T', 'DUNG HT', 'KNOLL L', 'WELSCH DG', 'EBERLEIN CLAUDIA', 'ZIETAL ROBERT', 'FALK ABRAM L', 'KOPPENS FRANK H L', 'YU CHUN L', 'FEDOROV I A', 'PARFENYEV V M', 'VERGELES S S', 'FERMI E'];PHYSICAL REVIEW B;Russia
Mechanical properties and current-carrying capacity of Al reinforced with graphene/BN nanoribbons: a computational study;['KVASHNIN DG', 'GHORBANI-ASL M', 'SHTANSKY DV', 'GOLBERG D', 'KRASHENINNIKOV AV', 'SOROKIN PB'];"['ASTROM JA', 'NORDLUND K', 'BAKSHI S R', 'LAHIRI D', 'AGARWAL A', 'BANHART FLORIAN', 'KOTAKOSKI JANI', 'KRASHENINNIKOV ARKADY V', 'BASKES MI', 'BJORKMAN TORBJORN', 'BLOCHL PE', 'COLEMAN JONATHAN N', 'KHAN UMAR', 'BLAU WERNER J', 'CRETU OVIDIU', 'KOMSA HANNU-PEKKA', 'LEHTINEN OSSI', 'BOTELLO-MENDEZ ANDRES R', 'JANOWSKA IZABELA', 'FACCIO RICARDO', 'DENIS PABLO A', 'PARDO HELENA', 'GHORBANI-ASL MAHDI', 'BRISTOWE PAUL D', 'KOZIOL KRZYSZTOF', 'GOLBERG DMITRI', 'BANDO YOSHIO', 'HUANG YANG', 'JIN CHUANHONG', 'LAN HAIPING', 'PENG LIANMAO', 'BERSENEVA NATALIA', 'KVASHNIN DMITRY G', 'KRESSE G', 'FURTHMULLER J', 'SHTANSKY DMITRY', 'LAHA T', 'MCKECHNIE T', 'LAHIRI DEBRUPA', 'HADJIKHANI ALI', 'ZHANG CHENG', 'LIU XIANGJUN', 'ZHANG GANG', 'ZHANG YONG-WEI', 'ORLOV A V', ""OVID'KO I A"", 'PENG QING', 'JI WEI', 'DE SUVRANU', 'PERDEW JP', 'BURKE K', 'ERNZERHOF M', 'PHAM HIEU H', 'WILLIAMS MICHAEL E', 'MAHAFFEY PATRICK', 'PLIMPTON S', 'RASHAD MUHAMMAD', 'PAN FUSHENG', 'YU ZHENGWEN', 'RICE MJ', 'PHILLPOT SR', 'BISHOP AR', 'SHIN S E', 'CHOI H J', 'HWANG J Y']";NANOSCALE;Russia
Phonon contribution to electrical resistance of acceptor-doped single-wall carbon nanotubes assembled into transparent films;['TSEBRO VI', 'TONKIKH AA', 'RYBKOVSKIY DV', 'OBRAZTSOVA EA', 'KAUPPINEN EI', 'OBRAZTSOVA ED'];['ANDO T', 'NAKANISHI T', 'SAITO R', 'AVRAMENKO M V', 'ROSHAL S B', 'BURSTEIN E', 'ELISEEV A A', 'YASHINA L V', 'VERBITSKIY N I', 'FAN X', 'DICKEY EC', 'EKLUND PC', 'FEDOTOV PAVEL V', 'TONKIKH ALEXANDER A', 'OBRAZTSOVA EKATERINA A', 'GRIGORIAN L', 'WILLIAMS KA', 'FANG S', 'GRUNER G', 'GUAN LUNHUI', 'SUENAGA KAZU', 'SHI ZUJIN', 'HAMADA N', 'SAWADA S', 'OSHIYAMA A', 'HECHT DAVID S', 'HEINTZ AMY M', 'LEE ROLAND', 'HU L', 'HECHT DS', 'KAISER AB', 'DUSBERG G', 'ROTH S', 'KANE CL', 'MELE EJ', 'LEE RS', 'KASKELA ANTTI', 'LAIHO PATRIK', 'FUKAYA NORIHIRO', 'NASIBULIN ALBERT G', 'TIMMERMANS MARINA Y', 'KATAURA H', 'KUMAZAWA Y', 'MANIWA Y', 'KIVELSON S', 'HEEGER AJ', 'KUZNETSOV VL', 'USOLTSEVA AN', 'CHUVILIN AL', 'LYONS PHILIP E', 'DE SUKANTA', 'BLIGHE FIONA', 'MCEUEN PL', 'BOCKRATH M', 'COBDEN DH', 'MOHR M', 'MAULTZSCH J', 'DOBARDZIC E', 'MOISALA ANNA', 'BROWN DAVID P', 'MOSS TS', 'MUSTONEN K', 'LAIHO P', 'KASKELA A'];PHYSICAL REVIEW B;Russia
