ÒÚ‡Ú¸ˇ;‡‚ÚÓ˚;ˆËÚËÛ˛Ú;ÊÛÌ‡Î;ÒÚ‡Ì‡
Buried paleosols of the Upper Paleolithic multilayered site Kostenki-1;['APARIN BF', 'PLATONOVA NI', 'SUKHACHEVA EY', 'DUDIN AE'];['ANIKOVICH M V', 'SINITSYN A A', 'HOFFECKER JOHN F', 'BIRYUKOVA O N', 'ORLOV D S', 'HOLLIDAY VANCE T', 'GOLDBERG PAUL', 'KLEIN RG', 'PONOMAREVA VV', 'PYLE DAVID M', 'RICKETTS GRAHAM D', 'MARGARI VASILIKI', 'SEDOV S N', 'KHOKHLOVA O S', 'SINITSYN AA', 'TON-THAT T', 'SINGER B', 'PATERNE M'];EURASIAN SOIL SCIENCE;Russia
Morphology, properties, and regimes of migrational-mycelial agrochernozems with different ground moistening (Belgorod oblast);['LEBEDEVA II', 'BAZYKINA GS', 'GREBENNIKOV AM', 'SMIRNOVA LG', 'TYUTYUNOV SI'];['AFANASEVA EA', 'BAZYKINA G S', 'BOIKO O S', 'BONDAREV AG', 'KUZNETSOVA IV', 'GREBENNIKOV A A', 'GREBENNIKOV A M', 'KUZNETSOVA I V'];EURASIAN SOIL SCIENCE;Russia
The effect of geocryological conditions and soil properties on the spatial variation in the CO2 emission from flat-topped peat mounds in the isolated permafrost zone of Western Siberia;['BOBRIK AA', 'GONCHAROVA OY', 'MATYSHAK GV', 'RYZHOVA IM', 'MAKAROV MI'];['BROOKES PC', 'LANDMAN A', 'PRUDEN G', 'CHANTIGNY MH', 'CHENG WX', 'VIRGINIA RA', 'FISK MC', 'RUETHER KF', 'YAVITT JB', 'GONCHAROVA O YU', 'MATYSHAK G V', 'BOBRIK A A', 'HINKEL KM', 'NELSON FE', 'HUGELIUS G', 'TARNOCAI C', 'BROLL G', 'MAKAROV M I', 'SHULEVA M S', 'MALYSHEVA T I', 'OECHEL WC', 'HASTINGS SJ', 'VOURLITIS G'];EURASIAN SOIL SCIENCE;Russia
Contact angles at the water-air interface of hydrocarbon-contaminated soils and clay minerals;['SOFINSKAYA OA', 'KOSTERIN AV', 'KOSTERINA EA'];['BACHMANN J', 'MCHALE G', 'WOCHE SK', 'GOEBEL MO', 'KHOLODOV V A', 'YAROSLAVTSEVA N V', 'YASHIN M A', 'LEELAMANIE D A L', 'KARUBE JUTARO', 'SHANG JIANYING', 'FLURY MARKUS', 'HARSH JAMES B', 'TRUBETSKOI O A', 'TRUBETSKAYA O E'];EURASIAN SOIL SCIENCE;Russia
Theoretical and experimental substantiation of a thermogravimetric method for assessing the water-retention capacity and specific surface area of disperse systems;['SMAGIN AV', 'SADOVNIKOVA NB', 'BASHINA AS', 'KIRICHENKO AV', 'VITYAZEV VG'];['KHARITONOVA G V', 'VITYAZEV V G', 'SMAGIN A V', 'SMIRNOV GV', 'SUDNITSYN I I', 'SHVAROV A P'];EURASIAN SOIL SCIENCE;Russia
The structure of mesofauna complexes in soils of the forest-park zone of Moscow and the Prioksko-Terrasnyi Biospheric Reserve;['BUYVOLOVA AY', 'RAKHLEEVA AA', 'BUYVOLOV YA', 'BYKOVA EP'];['BERGER WH', 'PARKER FL', 'GE BAO-MING', 'LI ZHEN-XING', 'ZHANG DAI-ZHEN', 'PIELOU E C', 'RYBALOV LB', 'SHANNON CE'];EURASIAN SOIL SCIENCE;Russia
The influence of cryogenic mass exchange on the distribution of viable microfauna in cryozems;"['GUBIN SV', 'LUPACHEV AV', 'SHATILOVICH AV', ""MYL'NIKOV AP"", 'RYSS AY', 'VEREMEEVA AA']";['ADL M S', 'GUPTA V V S R', 'ADL SM', 'SIMPSON AGB', 'FARMER MA', 'ANDRASSY ISTVAN', 'ARNDT H', 'DIETRICH D', 'AUER B', 'BOBROV A A', 'WETTERICH S', 'BEERMANN F', 'EO JINU', 'NAKAMOTO TOMOMI N', 'OTOBE KAZUNORI', 'FOISSNER W', 'GILICHINSKY DA', 'WAGENER S', 'VISHNEVETSKAYA TA', 'GUBIN S V', 'VEREMEEVA A A', 'HAMMER OYVIND', 'HARPER DAVID AT', 'RYAN PAUL D', 'HOLOVACHOV OLEKSANDR', 'HOWE ALEXIS T', 'BASS DAVID', 'VICKERMAN KEITH', 'KAISER CHRISTINA', 'MEYER HILDEGARD', 'BIASI CHRISTINA', 'LEE WJ', 'PATTERSON DJ', 'LUPACHEV A V', 'MACKAY JR', 'MCGILL LORRAINE M', 'SHANNON ADAM J', 'PISANI DAVIDE', 'MUELLER HELGA', 'ACHILLES-DAY UNDINE E M', 'DAY JOHN G', 'MULDER CHRISTIAN', 'HELDER JOHANNES', 'VERVOORT MARIETTE T W', 'OZERSKAYA S M', 'KOCHKINA G A', 'IVANUSHKINA N E'];EURASIAN SOIL SCIENCE;Russia
The effect of salinization on the biomass of microorganisms in the soils of different ages in the forest-steppe zone of Western Siberia;['YAKUTIN MV', 'ANOPCHENKO LY', 'ANDRIEVSKII VS'];['ANDERSON TH', 'DOMSCH KH', 'BELTRAN-HERNANDEZ RI', 'COSS-MUNOZ E', 'LUNA-GUIDO ML', 'CERNOHLAVKOVA J', 'HOFMAN J', 'BARTOS T', 'DENDOOVEN L', 'MENYAILO OV', 'STEPANOV AL', 'UMAROV MM', 'PLOKHINSKII NA', 'SARDINHA M', 'MULLER T', 'SCHMEISKY H', 'SARIG S', 'FLIESSBACH A', 'STEINBERGER Y', 'SEMIONOVA NA', 'LYSAK LV', 'GORLENKO MV', 'TATE RL', 'YUAN BING-CHENG', 'LI ZI-ZHEN', 'LIU HUA', 'ZENOVA GM', 'OBOROTOV GV', 'ZVYAGINTSEV DG'];EURASIAN SOIL SCIENCE;Russia
Diversity of clay minerals in soils of solonetzic complexes in the southeast of Western Siberia;['CHIZHIKOVA NP', 'KHITROV NB'];"['BISCAYE PE', ""DEMENT'YEVA T G"", 'GUGGENHEIM S', 'ADAMS J M', 'BAIN D C', 'KORNBLYUM E A', ""DEMENT'EVA T G"", 'ZYRIN N G', 'PAQUET H', 'BOCQUIER G', 'MILLOT G']";EURASIAN SOIL SCIENCE;Russia
Vertical distribution of Cs-137 in alluvial soils of the Lokna River floodplain (Tula oblast) long after the Chernobyl accident and its simulation;['MAMIKHIN SV', 'GOLOSOV VN', 'PARAMONOVA TA', 'SHAMSHURINA EN', 'IVANOV MM'];['BELYAEV VR', 'MARKELOV MV', 'GOLOSOV V N', 'BELYAEV V R', 'MARKELOV M V', 'PANIN AV', 'KONOPLEV A', 'GOLOSOV V', 'LAPTEV G', 'KOROBOVA E M', 'CHIZHIKOVA N P', 'LINNIK V G', 'KOTOVA AY', 'SANZHAROVA NI', 'À»ÕÕ»  ¬√', '—”– Œ¬ ¬¬', 'œŒ“¿ÕŒ¬ ¬Õ', 'LINNIK VG', 'SNRKOV VV', 'POTAPOV VN', 'MAMIKHIN S V', 'BADAWY W M', 'PALLER M H', 'JANNIK G T', 'FLEDDERMAN P D', 'WALLING DE', 'PARAMONOVA T', 'MACHAEVA E', 'BELYAEV V', 'STRAKHOVENKO V D', 'SHCHERBOV B L', 'MALIKOVA I N'];EURASIAN SOIL SCIENCE;Russia
On inclusion of ecosystem services in the assessment of damage from land degradation;['TSVETNOV EV', 'MAKAROV OA', 'YAKOVLEV AS', 'BONDARENKO EV'];"['COSTANZA ROBERT', 'DE GROOT RUDOLF', 'SUTTON PAUL', 'DE GROOT RS', 'WILSON MA', 'BOUMANS RMJ', 'DIXON JA', ""IL'IN V B"", 'CHEREVKO A S', 'TSVETNOV E V', 'TSVETNOVA O B', 'SHCHEGLOV A I']";EURASIAN SOIL SCIENCE;Russia
Functional response of soil microbial communities to tillage, cover crops and nitrogen fertilization;['NIVELLE E', 'VERZEAUX J', 'HABBIB H', 'KUZYAKOV Y', 'DECOCQ G', 'ROGER D', 'LACOUX J', 'DUCLERCQ J', 'SPICHER F', 'NAVA-SAUCEDO JE', 'CATTEROU M', 'DUBOIS F', 'TETU T'];['ACOSTA-MARTINEZ VERONICA', 'MIKHA MAYSOON M', 'SISTANI KARAMAT R', 'BAIS HARSH P', 'WEIR TIFFANY L', 'PERRY LAURA G', 'BAYER C', 'MARTIN-NETO L', 'MIELNICZUK J', 'BERGSTROM DW', 'MONREAL CM', 'KING DJ', 'CASIDA L E', 'KLEIN D A', 'SANTORO THOMAS', 'CHAUSSOD R', 'CHEN HAIQING', 'HOU RUIXING', 'GONG YUANSHI', 'COSTA DALILA', 'FREITAS HELENA', 'SOUSA JOSE PAULO', 'DAS ANUP', 'LAL R', 'PATEL D P', 'DIOSMA GABRIELA', 'AULICINO MONICA', 'CHIDICHIMO HUGO', 'FONTAINE S', 'BARDOUX G', 'ABBADIE L', 'FRAC MAGDALENA', 'OSZUST KAROLINA', 'LIPIEC JERZY', 'GARLAND JL', 'MILLS AL', 'GOMEZ E', 'GARLAND J', 'CONTI M', 'GOVAERTS BRAM', 'MEZZALAMA MONICA', 'UNNO YUSUKE', 'GRANDY A STUART', 'NEFF JASON C', 'GRAYSTON SJ', 'GRIFFITH GS', 'MAWDSLEY JL', 'GUNINA ANNA', 'KUZYAKOV YAKOV', 'HAMIDO SAID A', 'KPOMBLEKOU-A K', 'JANUSAUSKAITE DALIA', 'KADZIENE GRAZINA', 'AUSKALNIENE ONA', 'JORDAN CF', 'KLADIVKO EJ', 'KUSLIENE GEDRIME', 'RASMUSSEN JIM', 'BLAGODATSKAYA EVGENIA', 'LAGOMARSINO A', 'MOSCATELLI M C', 'DI TIZIO A'];APPLIED SOIL ECOLOGY;Russia
Polygenetic soils of montane cloud forest in Sierra Gorda, Mexico;['KRASILNIKOV P', 'GARCIA-CALDERON N', 'POGOSYAN L'];['ALVAREZ ARTEAGA G', 'GARCIA CALDERON N E', 'KRASILNIKOV P V', 'BOCKHEIM J G', 'HARTEMINK A E', 'BRUIJNZEEL LA', 'PROCTOR J', 'CHIU CY', 'LAI SY', 'LIN YM', 'DIXON JB', 'IBANEZ HUERTA A', 'HARGROVE WL', 'THOMAS GW', 'GARCIA-CALDERON N E', 'IBANEZ-HUERTA A', 'KRASILNIKOV PAVEL', 'GARCIA-CALDERON NORMA EUGENIA', 'FUENTES-ROMERO ELIZABETH', 'KRASILNIKOVA PV', 'CALDERON NEG', 'SEDOV SN', 'LOZET JM', 'HERBILLOAJ', 'MENDOZA-VEGA J', 'KARLTUN E', 'OLSSON M', 'SZYMANSKI W', 'SKIBA S', 'SZYMANSKI WOJCIECH', 'SKIBA MICHAL', 'SKIBA STEFAN', 'TARGULIAN VO', 'GORYACHKIN SV'];GEODERMA REGIONAL;Russia
How do microbial communities in top-and subsoil respond to root litter addition under field conditions?;['SANAULLAH M', 'CHABBI A', 'MARON PA', 'BAUMANN K', 'TARDY V', 'BLAGODATSKAYA E', 'KUZYAKOV Y', 'RUMPEL C'];['ALLISON SD', 'VITOUSEK PM', 'BAI ZHEN', 'LIANG CHAO', 'BODE SAMUEL', 'BASTIAN FABIOLA', 'BOUZIRI LAMIA', 'NICOLARDOT BERNARD', 'BAUMANN KAREN', 'DIGNAC MARIE-FRANCE', 'RUMPEL CORNELIA', 'SANAULLAH MUHAMMAD', 'CHABBI ABAD', 'MARSCHNER PETRA', 'SMERNIK RONALD J', 'BLUME E', 'BISCHOFF M', 'REICHERT JM', 'BUNDT M', 'WIDMER F', 'PESARO M', 'KOEGEL-KNABNER I', 'CHEN CHEN', 'ZHANG JIANAN', 'LU MIN', 'COLE SARAH E', 'LARIVIERE FREDERICK J', 'MERRIKH CHRISTOPHER N', 'DEQUIEDT S', 'SABY N P A', 'LELIEVRE M', 'EILERS KATHRYN G', 'DEBENPORT SPENCER', 'ANDERSON SUZANNE', 'EKELUND F', 'RONN R', 'CHRISTENSEN S', 'FIERER N', 'SCHIMEL JP', 'HOLDEN PA', 'FIERER NOAH', 'BRADFORD MARK A', 'JACKSON ROBERT B', 'FONTAINE SEBASTIEN', 'BAROT SEBASTIEN', 'BARRE PIERRE', 'FORNASIER F', 'ASCHER J', 'CECCHERINI M T', 'FROSTEGARD A', 'BAATH E', 'TUNLID A', 'FROSTEGARD ASA', 'TUNLID ANDERS', 'BAATH ERLAND', 'HAFNER SILKE', 'WIESENBERG GUIDO L B', 'STOLNIKOVA EKATERINA', 'HEROLD NADINE', 'SCHOENING INGO', 'BERNER DOREEN', 'JUMPPONEN ARI', 'JONES KENNETH L', 'BLAIR JOHN', 'KAUTZ TIMO', 'PERKONS UTE', 'ATHMANN MIRIAM', 'KOCH AL', 'KRAMER MARC G', 'SANDERMAN JONATHAN', 'CHADWICK OLIVER A', 'KUZYAKOV YAKOV', 'BLAGODATSKAYA EVGENIA'];SOIL BIOLOGY & BIOCHEMISTRY;Russia
Enzyme properties down the soil profile - A matter of substrate quality in rhizosphere and detritusphere;['LOEPPMANN S', 'BIAGODATSKAYA E', 'PAUSCH J', 'KUZYAKOV Y'];['ALLISON SD', 'VITOUSEK PM', 'ANDERSON JPE', 'DOMSCH KH', 'ANDERSON TH', 'JOERGENSEN RG', 'ANDERSON TRAUTE-HEIDI', 'DOMSCH KLAUS H', 'AON MA', 'CABELLO MN', 'SARENA DE', 'BELL COLIN', 'CARRILLO YOLIMA', 'BOOT CLAUDIA M', 'BENDING GD', 'TURNER MK', 'RAYNS F', 'BLAGODATSKAYA E', 'ZHENG X', 'BLAGODATSKY S', 'BLAGODATSKAYA E V', 'BLAGODATSKY S A', 'ANDERSON T-H', 'BLAGODATSKY SA', 'HEINEMEYER O', 'RICHTER J', 'BLUME E', 'BISCHOFF M', 'REICHERT JM', 'BRADFORD MARK A', 'BRUULSEMA TW', 'DUXBURY JM', 'CERVELLI S', 'NANNIPIERI P', 'CECCANTI B', 'CLEVELAND CORY C', 'LIPTZIN DANIEL', 'DE CESARE F', 'GARZILLO AMV', 'BUONOCORE V', 'DERRIEN D', 'MAROL C', 'BALESDENT J', 'ESTI MARCO', 'BENUCCI ILARIA', 'LIBURDI KATIA', 'FIERER N', 'ALLEN AS', 'SCHIMEL JP', 'HOLDEN PA', 'FRITZE H', 'PIETIKAINEN J', 'PENNANEN T', 'GARBEVA P', 'VAN ELSAS J D', 'VAN VEEN J A', 'GELSOMINO ANTONIO', 'AZZELLINO ARIANNA', 'GERMAN DONOVAN P', 'WEINTRAUB MICHAEL N', 'GRANDY A STUART', 'GIANFREDA L', 'DECRISTOFARO A', 'RAO MA', 'GREGORY PJ', 'HEUCK CHRISTINE', 'WEIG ALFONS', 'SPOHN MARIE'];SOIL BIOLOGY & BIOCHEMISTRY;Russia
